cluster,environment,expected_replicas,expected_state,observed_replicas,observed_head_revision,observed_approved_revision,observed_approvals_on_head,observed_armed_gates,observed_pending_upgrade,observed_state,proof_status,evidence
hx-sveltos-env-pilot,pilot,4,advanced,4,6,6,1,none,false,advanced,observed-pass,examples/sveltos/held-cluster/change-candidate.yaml;examples/sveltos/held-cluster/restore-candidate.yaml;examples/sveltos/held-cluster/continuation.yaml
hx-sveltos-env-staging,staging,4,advanced,4,6,6,1,none,false,advanced,observed-pass,examples/sveltos/held-cluster/change-candidate.yaml;examples/sveltos/held-cluster/restore-candidate.yaml;examples/sveltos/held-cluster/continuation.yaml
hx-sveltos-env-prod-a,prod,2,held-at-restored-revision,2,7,6,0,platform/require-approval/vet-approvedby,true,held-at-restored-revision,observed-pass,examples/sveltos/held-cluster/change-candidate.yaml;examples/sveltos/held-cluster/restore-candidate.yaml;examples/sveltos/held-cluster/continuation.yaml
hx-sveltos-env-prod-b,prod,4,advanced,4,6,6,1,none,false,advanced,observed-pass,examples/sveltos/held-cluster/change-candidate.yaml;examples/sveltos/held-cluster/restore-candidate.yaml;examples/sveltos/held-cluster/continuation.yaml
